nombre,tipo,n_docs,n_menciones,alias,rank_crudo,retenida,es_actor_gold,tipo_correcto,nombre_canonico,notas
Martín Vizcarra,PER,172,363,Vizcarra | Martin | Martín Vizcarra Cornejo | Vizcarra Cornejo | Martin Vizcarra,23,1,,,,
San Juan de Lurigancho,LOC,340,655,San Juan de Miraflores | Miraflores | San Juan de Dios | San Juan | de Miraflores | Lurigancho,24,0,,,,
Áncash,LOC,337,611,Áncash 17 | 17 | Ancash | { Ancash,25,0,,,,
Callao,LOC,327,602,je Callao,26,0,,,,
Ministerio de Economía y Finanzas,ORG,218,316,Ministerio de Economía | Finanzas | de Economía y Finanzas | Economía y Finanzas | Ministerio de Economía y Finanzas “ | Contingencia del Ministerio de Economía y Finanzas,27,1,,,,
Instituto Nacional de Defensa Civil,ORG,212,357,Defensa Civil | Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual | Dirección de Defensa Civil | Defensa | Defensa Civil de Lima | Protección de la Propiedad Intelectual,28,1,,,,
a Bermúdez,PER,157,377,isse Cánepa Bermudez | Bermúdez | a Bermudez | ] Bermúdez,29,1,,,,
FotoI,MISC,611,611,,30,0,,,,
Seguro Social de Salud,ORG,203,349,Seguro Social | Seguro Integral de Salud | Seguro | Red Rebagliati del Seguro Social de Salud | Rebagliati | Red de Salud de la,31,1,,,,
Contraloría General de la República,ORG,199,356,Contraloría | Contraloría General | Comisión de Presupuesto y Cuenta General del Congreso de la República | Congreso | contraloria | Contraloría General de República,32,1,,,,
Huánuco,LOC,298,406,Villa Covid Huánuco | Huanuco,33,0,,,,
Organización Mundial de la Salud,ORG,198,299,Salud | Mecanismo COVAX de la Organización Mundial de la Salud | Promoción de la Salud | Organización Panamericana de la Salud | Organización Mundial de Comercio | Covax,34,1,,,,
ONPE,ORG,197,564,ONPE Educa | onpe | Onpe,35,1,,,,
Joe Biden,PER,145,255,Biden | Joe,36,1,,,,
Perú,ORG,189,278,AB Perú | perú | I PERÚ | A Perú | v Perú | X Perú,37,0,,,,
Victoria Nacional,ORG,189,472,Perú Patria Segura | Patria Segura | RP. Perú Patria Segura | Partido Morado Perú Patria Segura Victoria Nacional | Partido Morado | Partido Perú Patria Segura,38,1,,,,
Centro de Operaciones de Emergencia Regional,ORG,178,259,Centro de Operaciones de Emergencia Nacional | Centros de Operaciones de Emergencia | Centro de Operaciones de Emergencia Local | Centro Nacional de Telemedicina | Centro Nacional de Enlace | Centro de Operaciones de Emergencia Sectorial,39,1,,,,
Presidente de la República,PER,133,191,de la República | Presidente de | República | Presidente de la Cooperativa,40,1,,,,
galeria,MISC,521,794,https : / / andina. pe / agencia / galeria | https : / / andina. pe | agencia | https : / | andina. pe | https : / / andina. pe / agencia,41,0,,,,
Ministerio de Energía y Minas,ORG,172,292,Minas | Dirección Regional de Energía y Minas | Dirección Regional de Energía y Minas de Puno | Comisión de Energía y Minas | Ministerio Energía y Minas | Ministerio de Energia y Minas,42,1,,,,
Universidad Nacional Mayor de San Marcos,ORG,171,277,Museo de Historia Natural | Departamento de Entomología del Museo de Historia Natural de la Universidad Nacional Mayor de San Marcos | San Marcos | Círculo de Debate de la Universidad Nacional Mayor de San Marcos | Academia Nacional de Historia | Centro de Historia de la Universidad Nacional de Ingeniería,43,1,,,,
Ministerio de Desarrollo e Inclusión Social,ORG,167,258,Ministerio de Desarrollo | Ministerio de Desarrollo Social | Inclusión Social | Ministerio de Desarrollo de Desarrollo e Inclusión Social | Ministerio de Desarrollo Social e Inclusión Social | Inclusión,44,1,,,,
OMS,ORG,163,479,OPS | OPS / OMS | OPS / OMS Perú,45,1,,,,
"Ministerio de Vivienda, Construcción y Saneamiento",ORG,161,321,"Ministerio de Vivienda, Construcción | Construcción | Saneamiento | Ministerio de Vivienda Construcción y Saneamiento | Ministerio de Vivienda | vivienda",46,1,,,,
Centro Nacional de Abastecimiento de Recursos Estratégicos en Salud,ORG,159,223,Superintendencia Nacional de Salud | Centro de Salud de Pimentel | Fondo Nacional de salud | Superintendencia Nacional de Migraciones | Centro de Salud Uliachin | Defensa Nacional en Salud,47,1,,,,
Banco Central de Reserva,ORG,157,248,Banco Central de Reserva del Perú | Banco Central | Banco de Desarrollo del Perú | Banco Interamericano de Desarrollo | Directorio del Banco Central de Reserva del Perú | Banco Central de Bolivia,48,1,,,,
George Forsyth,PER,111,326,George Forsyth Sommer | Forsyth | George Patrick Forsyth Sommer | ] Forsyth | Forsyth Sommer | George,49,1,,,,
Elizabeth Astete,PER,108,164,Astete | Elizabeth Astete Rodríguez | Elizabeth Astete – | Canciller Elizabeth Astete Rodríguez | Canciller Elizabeth Astete Rodriguez | Elizabeth Rodríguez,50,1,,,,
Óscar Ugarte,PER,107,153,Oscar Ugarte Ubillús | Oscar Ugarte,51,1,,,,
riaI,MISC,427,427,,52,0,,,,
Donald Trump,PER,106,211,Trump,53,1,,,,
Rafael López Aliaga,PER,104,256,Rafael Bernando López Aliaga Cazorla | López Aliaga | Rafael López Aliaga Cazorla | Rafael López | Rafael Bernardo López Aliaga Cazorla | Bernardo,54,1,,,,
Ricardo Cuenca,PER,101,252,Cuenca | Ricardo Cuenca Pareja | Ricardo | Pareja | Cuenca Pareja,55,1,,,,
Internacionales,MISC,396,397,Relaciones Internacionales | Relaciones,56,0,,,,
Chiclayo,LOC,197,303,torio de Chiclayo | torio de,57,0,,,,
https : / / andina. pe,MISC,385,385,https : / / www. onpe. gob. pe | https : / / www. indecopi. gob. pe | https : / / www. gob. pe | https : / / www. andina. pe | www. andina. pe | andina. pe,58,0,,,,
Jefe del Estado,PER,94,103,Jefe | Estado,59,1,,,,
"Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica",ORG,125,195,"Sistema Nacional de Ciencia, Tecnología e Innovación Tecnológica | Sistema Nacional de Pensiones | Ministerio de Ciencia, Tecnología | Centros de Innovación Tecnológica | Secretaría de Ciencia, Tecnología | Secretaría de Ciencia, Tecnología e Innovación",60,1,,,,
Libertad,LOC,185,388,Seguro Alto Libertad | Barrio Seguro Alto Libertad | libertad | Barrio Seguro Alto Trujillo,61,0,,,,
Eduardo González,PER,92,146,Eduardo González Chávez | Eduardo Chávez | González Chávez | Eduardo González ”,62,1,,,,
José Luis Chicoma,PER,90,171,José Luis Chicoma Lúcar | Chicoma Lúcar | Chicoma L | Chicoma | h Lúcar | Jose Luis Chicoma,63,1,,,,
Alejandro Neyra,PER,90,142,Neyra | Alejandro Arturo Neyra Sánchez | Alejandro Neyra Sánchez,64,1,,,,
Ministerio de Educación,ORG,117,172,"Ministerio de Ciencia, | Ministerio de Ciencia y Tecnología | Ministerio de Educación y Ciencia de Rusia | Ministerio de Innovación, Ciencia | Agencia de Ciencia Tecnología | Comité de Innovación, Ciencia y Tecnología",65,1,,,,
Hernando de Soto,PER,87,176,Hernando De Soto Polar | Hernando de Soto Polar | ando de Soto Polar | ando de Soto | Hernando De Soto | ando De Soto,66,1,,,,
Frente Amplio,ORG,115,213,"Frente Amplio por Justicia, Vida y Libertad | Libertad | POR | Frente Amplio por Justicia, Vida | Justicia, Vida | Frente Amplio por",67,1,,,,
Pontificia Universidad Católica del Perú,ORG,112,155,Perú | B Perú | ificia Universidad Católica del Perú | Pontificia Universidad Católica | Universidad Católica | ificia Universidad Católica,68,1,,,,
Daniel Salaverry,PER,83,200,Daniel Enrique Salaverry Villa | Daniel | Daniel Salaverry Villa | Salaverry | Enrique | Salaverry Villa,69,1,,,,
Minem,ORG,109,196,Dirección General de Electrificación Rural | Rural | Dirección General de Electrificación Rural del Minem | Dirección | Dirección de Electrificación Rural,70,1,,,,
Venezuela,ORG,106,170,Asamblea Nacional de Venezuela | Asamblea Nacional | Asamblea Nacional de Gobiernos Regionales | Gobiernos Regionales | Gobiernos | Asociación de Gobiernos Regionales,71,1,,,,
Federico Tenorio,PER,79,132,Tenorio | Federico Tenorio Calderón | Calderón | Tenorio Calderón,72,1,,,,
Servicio Nacional de Meteorología e Hidrología,ORG,104,181,Servicio Nacional de Meteorología | Hidrología | Servicio Nacional de Meteorología e Hidrología del Perú | Servicio Nacional de Meteorología e Hidrografía | Instituto Nacional de Meteorología e Hidrología | Hidrografía del Perú,73,1,,,,
Estado Civil,ORG,100,135,Estado | Registro Nacional de Identificación y Estado Civil | Registro Civil | de Estado | Estado de | estado Civil,74,1,,,,
Claudia Cornejo,PER,75,133,Cornejo | Claudia Cornejo Mohme | Cornejo Mohme,75,1,,,,
Ministerio de Comercio Exterior y Turismo,ORG,98,160,Ministerio | Dirección Regional de Comercio Exterior y Turismo | Comisión de Comercio Exterior | ministerio | Comisión de Comercio Exterior y Turismo | Ministerio de Comercio Exterior,76,1,,,,
Waldo Mendoza,PER,73,120,Waldo Mendoza Bellido,77,1,,,,
Superintendencia Nacional de Aduanas,ORG,96,153,Superintendencia Nacional de Fiscalización Laboral | Superintendente Nacional de Aduanas | Aduanas | Superintendencia | Superintendencia Nacional de Fiscalización Laboral – | Superintendencia Nacional de Aduanas y de,78,1,,,,
Registro Nacional de Identificación,ORG,95,115,Registro | dencia Nacional de los Registro | dencia | Registro Nacional de Proveedores | Registro Nacional de Identidad | Registro Nacional de Sanciones,79,1,,,,
ina Canal Online,ORG,95,96,Canal Online | canal | Canal N | ina | ina Canal,80,1,,,,
