cluster_id,n,predicados_top,ejemplos,tipo_label
reltype:010,925,"[[""pedir a"", 161], [""pedir"", 126], [""solicitar a"", 89], [""solicitar al"", 84], [""solicitar"", 57], [""requerir"", 39], [""solicitar para"", 35], [""pedir en"", 31]]","[""Lee también: INEI: 66 % de mujeres casadas o convivientes no desea tener más hijos El evento de presentación fue liderado por el doctor Gaspar Morán Flores, jefe del INEI, quien estuvo acompañado de Eric Peña, viceministro de salud pública del Ministerio de Salud (Minsa), además del señor Hugo González, representante en el Perú del Fondo de Población de las Naciones Unidas (UNFPA) y Leendert Nederveen, representante de la Organización Panamericana de la Salud: OPS/OMS."", ""“Estamos aquí por una orden expresa de la señora presidenta de la República, Dina Boluarte, quien desea que el Estado se movilice no sólo con su Ejército y Policía, sino con todas las capacidades públicas de los sectores involucrados directamente con lo que a ustedes les interesa, que es el desarrollo sostenible”, agregó."", ""Miguel Trauco desea retirarse en Alianza y dice que con Reynoso Perú habría ido al Mundial\nMiguel Trauco remeció el ambiente futbolístico al señalar su deseo de retirarse en Alianza Lima y afirmar que la selección peruana hubiera clasificado al Mundial si Juan Reynoso continuaba al mando de la dirección técnica; también confesó que rechazó a Cristal por fichar por el club íntimo.""]",
reltype:011,835,"[[""ratificar"", 391], [""firmar"", 156], [""ratificar en"", 69], [""firmar por"", 38], [""firmar en"", 26], [""ratificar con"", 25], [""ratificar a"", 19], [""firmar con"", 16]]","[""Sostuvo que el levantamiento de la medida se sustenta en los pronunciamientos emitidos por la Dirección General de Salud Ambiental e Inocuidad Alimentaria ( Digesa ), la Dirección Regional de Salud (Diresa) y el Servicio Nacional de Sanidad Agraria del Perú ( Senasa ), quienes, tras realizar los análisis correspondientes, certificaron que los productos son aptos para el consumo humano."", ""Senace certificó proyectos mineros por US$ 10,230 millones en inversiones sostenibles\nEl Servicio Nacional de Certificación Ambiental para las Inversiones Sostenibles (Senace) otorgó certificación ambiental a cinco proyectos de inversión en el sector minería, que suman 10,230 millones de dólares, en favor del crecimiento económico y el desarrollo de la región de Cajamarca."", ""El Servicio Nacional de Sanidad Agraria (Senasa) certificó este primer cargamento de pecanas , como parte del compromiso del Gobierno por seguir impulsando el crecimiento de la agroexportación.""]",
reltype:012,795,"[[""supervisar"", 328], [""supervisar en"", 161], [""supervisar por"", 59], [""supervisar para"", 29], [""supervisar con"", 26], [""supervisar desde"", 22], [""gestionar"", 21], [""ejercer en"", 17]]","[""Alerta de tsunami en Perú: aplicarán medida en áreas naturales protegidas marino costeras\nEl Ministerio del Ambiente (Minam) informó que ante la alerta de tsunami en Perú, emitida por la Dirección de Hidrografía y Navegación de la Marina de Guerra del Perú tras el terremoto de magnitud 8.8 en Rusia, se dispuso aplicar la medida en las zonas protegidas marino costeras que administra el Servicio Nacional de Áreas Naturales Protegidas por el Estado (Sernanp)."", ""El Ministerio del Ambiente (Minam) informó que ante la alerta de tsunami en Perú, emitida por la Dirección de Hidrografía y Navegación de la Marina de Guerra del Perú tras el terremoto de magnitud 8.8 en Rusia, se dispuso aplicar la medida en las zonas protegidas marino costeras que administra el Servicio Nacional de Áreas Naturales Protegidas por el Estado (Sernanp)."", ""De acuerdo con la citada resolución administrativa, el servicio recientemente creado será administrado por la Subgerencia de Servicios Judiciales y Atención al Usuario de la Gerencia General del Poder Judicial.""]",
reltype:013,658,"[[""transmitir a"", 113], [""transmitir por"", 109], [""emitir"", 101], [""emitir en"", 62], [""enviar al"", 35], [""comunicar a"", 18], [""enviar a"", 18], [""emitir sobre"", 15]]","[""Autoridades deben comunicar su renuncia al JNE La secretaria general del JNE, Yéssica Clavijo , precisó que las autoridades que buscan postular a un nuevo cargo debieron presentar su renuncia hasta el pasado 13 de octubre , conforme lo establece la ley electoral."", ""El Ministerio del Ambiente comunicó que el ministro, Miguel Espichán Mariñas , lideró la ceremonia de izamiento del Pabellón Nacional en la sede del Ministerio del Ambiente."", ""El Ministerio de Salud (Minsa), a través de la Dirección General de Medicamentos, Insumos y Drogas (Digemid), comunica respecto a la alerta Digemid 004-2026, que el paracetamol no presenta fallas de calidad, es un medicamento seguro; no obstante, el sector recordó a la población que la automedicación puede generar riesgos y que el uso en pacientes con enfermedades graves o por periodos prolongados debe realizarse únicamente bajo supervisión médica.""]",
reltype:014,609,"[[""reconocer"", 113], [""revelar"", 81], [""reconocer a"", 62], [""reconocer por"", 43], [""reconocer en"", 42], [""identificar"", 39], [""constatar"", 26], [""constatar en"", 17]]","[""El ministro Astudillo constató la presencia de las fuerzas del orden, conformadas por efectivos de las Fuerzas Armadas y la Policía Nacional del Perú (PNP) , resguardando las calles e instituciones públicas, y destacó, además, el sacrificio y la disciplina del personal militar y policial para hacer cumplir la inmovilización social obligatoria, en el marco del estado de emergencia."", ""Ministerio de Defensa constata desarrollo de capacidades de la FAME\nEl viceministro de Recursos para la Defensa, del Ministerio de Defensa (Mindef), Adolfo Herrera, constató los avances alcanzados por la Fábrica de Armas y Municiones del Ejército SAC (FAME SAC) en sus plantas de ensamblaje de fusiles y miras ópticas."", ""Así lo constataron hoy la presidenta de la República, Dina Boluarte, y el ministro del Interior, Carlos Malaver, al recorrer las instalaciones de esta moderna infraestructura que depende de la Superintendencia Nacional de Migraciones.""]",
reltype:015,571,"[[""acompanar al"", 180], [""pedir al"", 59], [""tomar al"", 33], [""ingresar al"", 23], [""invocar al"", 21], [""emitir al"", 18], [""reiterar al"", 16], [""rendir al"", 15]]","[""Al respecto, Luján aclaró que los jueces del Poder Judicial resolverán caso por caso y siempre bajo un enfoque técnico y autónomo."", ""Presidenta Boluarte será acompañada al Vaticano por el canciller y el titular de Justicia\nLa presidenta Dina Boluarte, será acompañada por el canciller Elmer Schialer y el ministro de Justicia y Derechos Humanos, Juan Alcántara, como parte de la delegación oficial a la ciudad del Vaticano, para participar en la ceremonia de entronización del papa León XIV."", ""Acompañan al titular de la PCM, los ministros de Salud, César Vásquez; de Educación, Morgan Quero; de Defensa, Walter Astudillo; y de Desarrollo e Inclusión Social, Leslie Urteaga; así como el viceministro de Relaciones Exteriores, Félix Denegri Boza, entre otras autoridades.""]",
reltype:016,520,"[[""se convertir en"", 102], [""modificar"", 77], [""trasladar a"", 54], [""se trasladar a"", 18], [""trasladar"", 17], [""se desplazar a"", 13], [""se modificar"", 13], [""trasladar al"", 12]]","[""El Carnaval Jaujino ha ido adaptándose a diferentes procesos de cambio, especialmente al fenómeno migratorio, que ha llevado a que hoy en día muchos aspectos de la organización sean asumidos por los “hijos residentes”."", ""“Hoy, esta experiencia tecnológica está cruzando fronteras para adaptarse a la industria minera internacional, permitiendo aplicar sistemas de optimización hídrica vinculados a energías renovables para lograr operaciones mucho más limpias y mitigar el impacto ambiental”."", ""Además, sanciona acciones que alteren el normal desarrollo laboral , como consumir alcohol o drogas y/o estupefacientes en el centro de trabajo.""]",
reltype:017,438,"[[""evaluar"", 74], [""estimar"", 69], [""analizar"", 48], [""evalua"", 42], [""determinar"", 24], [""evaluar a"", 14], [""se evaluar"", 10], [""determinar en"", 9]]","[""Lee también: [ Presidenta Boluarte: Lima será sede de la final de la Copa Libertadores 2025 ] “Con la tecnología de secuenciación genética NGS, analizamos el ADN en sangre y podemos detectar alteraciones con una certeza superior al 95 %."", ""PJ analiza si se suma a demanda de inconstitucionalidad de la Defensoría del Pueblo\nLa presidenta del Poder Judicial, Janet Tello, indicó que este poder del Estado analiza si se suma a la demanda de inconstitucionalidad presentada por la Defensoría del Pueblo contra la ley que establece que los menores de 16 y 17 años podrán ser juzgados como adultos por delitos graves."", ""Comisión de Economía: analizan impacto de propuesta para el retiro de fondos de AFP\nLa Comisión de Economía del Congreso recibió a los titulares del Ministerio de Economía y Finanzas (MEF), la Superintendencia de Banca, Seguros y AFP (SBS) y la Asociación de AFP (AAFP), quienes expusieron el impacto de un octavo retiro de fondos de los afiliados al Sistema Privado de Pensiones (SPP).""]",
reltype:018,429,"[[""confirmar"", 297], [""confirmar en"", 46], [""confirmar a"", 20], [""confirmar por"", 13], [""se confirmar"", 9], [""confirmar al"", 5], [""confirmar para"", 5], [""confirmar con"", 4]]","[""Las modalidades y la confirmación del traslado a la basílica del cuerpo para su exposición ante los fieles desde la capilla de la Casa Santa Marta , donde residió Francisco, se establecerán y comunicarán mañana, después de la primera Congregación de los Cardenales, que se celebrará a primera hora, confirmó la oficina de prensa."", ""Al respecto, el Ministerio Público informó que la Fiscalía Provincial Especializada contra la Criminalidad Organizada de Huaura (Equipo 1) participa del megaoperativo y confirmó la detención preliminar judicial de 16 presuntos integrantes de la organización criminal ‘Los emperadores del norte chico’, vinculada con los delitos de extorsión, sicariato, robo agravado y falsificación de documentos para tráfico de terrenos."", ""Sporting Cristal confirmó la baja del argentino Santiago González\nSporting Cristal se alista para enfrentar al Bolívar, en el Estadio Nacional, por la Copa Libertadores, y lo hace sin una de sus principales figuras como es el argentino Santiago González, quien sufre un esguince de rodilla y estará varios días fuera de las canchas.""]",
reltype:019,427,"[[""visitar"", 247], [""visitar en"", 87], [""visitar a"", 32], [""visitar con"", 20], [""visitar durante"", 16], [""visitar de"", 6], [""visitar al"", 4], [""visitar por"", 4]]","[""San Juan de Lurigancho: Midis supervisa implementación de cocina y almacén en colegio\nLa ministra de Desarrollo e Inclusión Social, Leslie Urteaga, visitó esta mañana el Centro de Educación Básica Especial (C.E.B.E.) San Matías de Jesús, en el distrito de San Juan de Lurigancho, para supervisar la implementación de una cocina y almacén, que serán parte de uno de los nuevos modelos del servicio alimentario escolar."", ""La ministra de Desarrollo e Inclusión Social, Leslie Urteaga, visitó esta mañana el Centro de Educación Básica Especial (C.E.B.E.) San Matías de Jesús, en el distrito de San Juan de Lurigancho, para supervisar la implementación de una cocina y almacén, que serán parte de uno de los nuevos modelos del servicio alimentario escolar."", ""-Ministro Daniel Maurate visitó proyecto de inversión en la playa El Silencio Diego Rosell, gerente comercial de Seguros Masivos de Protecta Security, explicó que contar con un adecuado sistema de prevención de seguridad y salud en el trabajo puede contribuir a minimizar los riesgos laborales, así como los impactos económicos y reputacionales de las empresas que tomen acciones oportunas y con un enfoque técnico.""]",
reltype:020,423,"[[""elegir"", 58], [""ordenar"", 48], [""elegir a"", 41], [""elegir en"", 28], [""elegir por"", 28], [""ordenar para"", 28], [""decidir"", 26], [""se elegir en"", 23]]","[""“ El gobierno de la presidenta Dina Boluarte decidió darle impulso a la gestión de las áreas naturales protegidas y a la conservación del ambiente."", ""Bolívar con su artillería El técnico del Bolívar, el argentino Flavio Robatto , decidió llevar a todo el equipo a Cusco a preparar este partido que puede certificar la clasificación del cuadro paceño para los cuartos de final."", ""ONU decide que los cascos azules se retiran del territorio de Líbano en 2027\nEl Consejo de Seguridad de la ONU decidió el jueves prorrogar por última vez el mandato de la fuerza de mantenimiento de la paz en el sur del Líbano (Finul) y, bajo presión de Estados Unidos e Israel, programar su retirada en 2027.""]",
reltype:021,415,"[[""promover"", 176], [""promover para"", 54], [""promover en"", 51], [""promover a"", 30], [""promover de"", 25], [""promover con"", 22], [""promover por"", 20], [""promover desde"", 9]]","[""Gobierno publica proyecto de reglamento de ley que promociona el turismo comunitario\nEl Ministerio de Comercio Exterior y Turismo (Mincetur) dispuso la publicación del proyecto de decreto supremo que aprueba el reglamento de la Ley de Promoción y Desarrollo del Turismo Comunitario (Ley N° 31797) y su exposición de motivos."", ""PromPerú promueve exportación de productos pesqueros y acuícolas sostenibles\nA través de una estrategia integral que combina la participación en ferias globales, la organización de eventos especializados y misiones comerciales, la Comisión de Promoción del Perú para la Exportación y el Turismo (PromPerú) busca posicionar al Perú como un proveedor confiable de productos pesqueros de alta calidad y trazabilidad."", ""El turismo social no solo promueve el disfrute del patrimonio natural y cultural del país, sino que también contribuye a la inclusión , la equidad y el desarrollo territorial, pilares fundamentales para construir un Perú más justo y sostenible desde el turismo.""]",
reltype:022,371,"[[""concluir"", 108], [""cerrar"", 41], [""concluir con"", 28], [""cerrar con"", 27], [""finalizar"", 21], [""completar"", 20], [""cerrar en"", 13], [""cerrar para"", 13]]","[""-OCDE: Perú tiene amplias reservas internacionales y baja deuda pública \""Acaba de regresar nuestro equipo de la OCDE Lima tras trabajar en lo que es la digitalización de trámites, lo cual va a ayudar a la formalización de muchas microempresas, en el marco del proceso de adhesión\"", dijo el director del Centro de la OCDE para América Latina y el Caribe, Mario López Roldán, consultado por la Agencia Andina ."", ""La Comisión de Promoción del Perú para la Exportación y el Turismo (Promperú) acaba de cerrar la edición XVI de Industria Perú, plataforma que conecta empresas peruanas con compradores internacionales y visibiliza lo mejor de nuestra industria: su capacidad, su compromiso, y sobre todo, sus cadenas de valor."", ""“La presidenta (Dina Boluarte) acaba de ser recibida por el príncipe heredero de Kuwait, una economía con la cual estamos creciendo en comercio bilateral y que tiene mucho interés en invertir en Perú” , indicó la titular del Ministerio de Comercio Exterior y Turismo (Mincetur).""]",
reltype:023,367,"[[""trabajar en"", 106], [""trabajar de"", 67], [""trabajar"", 64], [""trabajar por"", 29], [""trabajar con"", 24], [""trabajar para"", 16], [""trabajar a"", 14], [""laborar en"", 10]]","[""Rospigliosi firma autógrafa de ley que incorpora a trabajadores del MP al régimen 728\nEl presidente encargado del Congreso de la República, Fernando Rospigliosi, firmó la autógrafa de ley que establece la incorporación progresiva de los trabajadores del Ministerio Público que laboran bajo el régimen CAS a plazo indeterminado (Decreto Legislativo 1057) al régimen laboral del Decreto Legislativo 728, Ley de Fomento del Empleo."", ""El presidente encargado del Congreso de la República, Fernando Rospigliosi, firmó la autógrafa de ley que establece la incorporación progresiva de los trabajadores del Ministerio Público que laboran bajo el régimen CAS a plazo indeterminado (Decreto Legislativo 1057) al régimen laboral del Decreto Legislativo 728, Ley de Fomento del Empleo."", ""El ministro de Cultura también laboró en la Universidad Antonio Ruiz de Montoya como profesor del curso de Patrimonio Arqueológico, Leyes e Institución Pública, y en el diplomado en Gestión del Patrimonio Arqueológico de la misma casa de estudios; así como en la Academia Diplomática del Perú.""]",
reltype:024,352,"[[""designar a"", 142], [""designar"", 57], [""se designar a"", 32], [""designar de"", 20], [""designar en"", 18], [""designar al"", 15], [""se designar al"", 12], [""designar ante"", 9]]","[""Ministerio de Trabajo -Designan representante del Estado ante el Consejo Directivo del Seguro Social de Salud-EsSalud , quien desempeñará el cargo de presidente ejecutivo ."", ""Midis designa directora ejecutiva del Programa Nacional Cuna Más\nEl Ministerio de Desarrollo e Inclusión Social (Midis) designó a Vanessa Ysabel Toribio Vargas en el cargo de Directora Ejecutiva del Programa Nacional Cuna Más."", ""Lee también: Midis designa directora ejecutiva del Programa Nacional Cuna Más Esta norma se emite, en el marco de las atribuciones conferidas por la Ley N° 29792, Ley de Creación, Organización y Funciones del Ministerio de Desarrollo e Inclusión Social (Midis) y otras disposiciones legales vigentes en materia de designación de funcionarios públicos Con esta designación, el Midis busca asegurar la continuidad operativa de uno de sus programas sociales más emblemáticos, que forma parte del sistema de protección social del país.""]",
reltype:025,344,"[[""contribuir al"", 86], [""apoyar"", 31], [""contribuir a"", 31], [""contribuir con"", 23], [""apoyar a"", 22], [""contribuir"", 21], [""contribuir para"", 20], [""apoyar en"", 19]]","[""Congreso reconoce a la panadería artesanal y el King Kong como expresiones culturales\nLa Comisión de Comercio Exterior y Turismo del Congreso aprobó por unanimidad dos dictámenes que declaran de interés nacional la promoción y reconocimiento de la panadería artesanal y del dulce tradicional King Kong de Lambayeque, por su valor cultural, gastronómico y aporte al desarrollo económico regional."", ""La Comisión de Comercio Exterior y Turismo del Congreso aprobó por unanimidad dos dictámenes que declaran de interés nacional la promoción y reconocimiento de la panadería artesanal y del dulce tradicional King Kong de Lambayeque, por su valor cultural, gastronómico y aporte al desarrollo económico regional."", ""\""Como Ministerio del Ambiente (Minam), a través de la Unidad Ejecutora 003, estamos apoyando y fortaleciendo el trabajo de las asociaciones de recicladores en diferentes regiones del país\"", sostuvo el ministro del Ambiente, Juan Carlos Castro, tras destacar la contribución de dichos trabajadores a la conservación de los ecosistemas y saludarlos en esta fecha que se conmemora el Día Nacional del Reciclador.""]",
reltype:026,341,"[[""agradecer"", 91], [""agradecer al"", 65], [""agradecer a"", 51], [""felicitar a"", 35], [""agradecer por"", 23], [""agradecer en"", 15], [""felicitar al"", 14], [""felicitar en"", 10]]","[""Finalmente, la ministra León agradeció la acogida que tuvo la primera edición internacional de la feria gastronómica “Perú, Mucho Gusto” realizada en Madrid, que evidenció el creciente interés español por la cocina peruana."", ""El presidente de la Federación Peruana de Kickboxing , Miguel Sarria, agradeció el apoyo del IPD para trabajar de la mano y continuar con el desarrollo de esta disciplina."", ""Antes de concluir el acto protocolar, la presidenta Dina Boluarte agradeció el trabajo articulado entre los poderes Ejecutivo y Legislativo, así como con los gremios, que permitió la elaboración y aprobación de la referida norma.""]",
